Time	h	uV	uH
'25-Feb-2021 18:48:25'	-1.837334321	0.000540367	1.171610719
'25-Feb-2021 19:48:28'	0.461551034	0.00062233	1.303652003
'25-Feb-2021 20:48:31'	1.901327587	0.000107269	0.170780697
'25-Feb-2021 21:48:34'	1.113827552	-0.000504548	-1.106143433
'25-Feb-2021 22:48:37'	-1.120475837	-0.000625049	-1.27996699
'25-Feb-2021 23:48:40'	-2.63027956	-0.000137237	-0.166824602
'26-Feb-2021 00:48:42'	-1.927763534	0.000496039	1.180937215
'26-Feb-2021 01:48:45'	0.374372426	0.000673248	1.476039141
'26-Feb-2021 02:48:48'	2.141164923	0.000224011	0.416908491
'26-Feb-2021 03:48:51'	1.730517596	-0.000431979	-1.027924702
'26-Feb-2021 04:48:54'	-0.466715683	-0.000683858	-1.534115929
'26-Feb-2021 05:48:57'	-2.409765832	-0.000305181	-0.663394162
'26-Feb-2021 06:49:00'	-2.335701996	0.000338036	0.739100401
'26-Feb-2021 07:49:03'	-0.401768487	0.000638966	1.356647671
'26-Feb-2021 08:49:05'	1.498951651	0.000323759	0.643711489
'26-Feb-2021 09:49:08'	1.55153561	-0.000295575	-0.675337282
'26-Feb-2021 10:49:11'	-0.266670605	-0.000623502	-1.311511055
'26-Feb-2021 11:49:14'	-2.186209214	-0.000346935	-0.640594555
'26-Feb-2021 12:49:17'	-2.339672147	0.000271572	0.708942287
'26-Feb-2021 13:49:20'	-0.533789106	0.00064642	1.457050418
'26-Feb-2021 14:49:23'	1.571530745	0.000423311	0.88367852
'26-Feb-2021 15:49:26'	2.029950558	-0.000189582	-0.495658657
'26-Feb-2021 16:49:28'	0.430964843	-0.000622101	-1.419574086
'26-Feb-2021 17:49:31'	-1.734399208	-0.000479395	-1.063169577
'26-Feb-2021 18:49:34'	-2.48810531	9.22378E-05	0.203042362
'26-Feb-2021 19:49:37'	-1.210929512	0.000551152	1.181384669
'26-Feb-2021 20:49:40'	0.813034747	0.000473432	0.980188919
'26-Feb-2021 21:49:43'	1.640434003	-5.29146E-05	-0.16067596
'26-Feb-2021 22:49:46'	0.506451483	-0.000519703	-1.119158213
'26-Feb-2021 23:49:49'	-1.474859704	-0.000482495	-0.963710155
'27-Feb-2021 00:49:52'	-2.386048095	2.26506E-05	0.169092436
'27-Feb-2021 01:49:54'	-1.323259896	0.00051867	1.211804771
'27-Feb-2021 02:49:57'	0.757771272	0.000539377	1.175733998
'27-Feb-2021 03:50:00'	1.945620644	6.52023E-05	0.076709123
'27-Feb-2021 04:50:03'	1.159529012	-0.000463751	-1.08662754
'27-Feb-2021 05:50:06'	-0.859262976	-0.000562907	-1.268537912
'27-Feb-2021 06:50:09'	-2.261345459	-0.000153082	-0.341431726
'27-Feb-2021 07:50:12'	-1.816347742	0.000374009	0.806515498
'27-Feb-2021 08:50:15'	-0.031833089	0.000528517	1.116103852
'27-Feb-2021 09:50:17'	1.362790893	0.00017903	0.34197077
'27-Feb-2021 10:50:20'	1.055815533	-0.00033281	-0.739734832
'27-Feb-2021 11:50:23'	-0.629389006	-0.000519708	-1.07880754
'27-Feb-2021 12:50:26'	-2.063827955	-0.00020582	-0.340713178
'27-Feb-2021 13:50:29'	-1.856322916	0.000313395	0.786609015
'27-Feb-2021 14:50:32'	-0.156038541	0.000552009	1.243746379
'27-Feb-2021 15:50:35'	1.493150284	0.000287369	0.589752869
'27-Feb-2021 16:50:38'	1.59128831	-0.000236544	-0.59224429
'27-Feb-2021 17:50:40'	0.063736296	-0.000540292	-1.241144196
'27-Feb-2021 18:50:43'	-1.690128212	-0.000353893	-0.796951344
'27-Feb-2021 19:50:46'	-2.104268689	0.000138839	0.297111732
'27-Feb-2021 20:50:49'	-0.88135658	0.000478304	1.023621817
'27-Feb-2021 21:50:52'	0.767955988	0.000357759	0.738748316
'27-Feb-2021 22:50:55'	1.279534072	-9.70206E-05	-0.244170012
'27-Feb-2021 23:50:58'	0.193436874	-0.000452194	-0.966608669
'28-Feb-2021 00:51:01'	-1.436299274	-0.000372782	-0.728718739
'28-Feb-2021 01:51:04'	-2.04202694	6.77822E-05	0.259510761
'28-Feb-2021 02:51:06'	-1.008932423	0.000459519	1.078347291
'28-Feb-2021 03:51:09'	0.753103095	0.000437782	0.954775151
'28-Feb-2021 04:51:12'	1.650850412	1.94979E-05	-0.021984964
'28-Feb-2021 05:51:15'	0.873481408	-0.000415045	-0.98379668
'28-Feb-2021 06:51:18'	-0.871085841	-0.000473995	-1.081383734
'28-Feb-2021 07:51:21'	-2.01742678	-0.000112472	-0.256934017
'28-Feb-2021 08:51:24'	-1.579382574	0.000331103	0.716331515
'28-Feb-2021 09:51:27'	-0.036499204	0.000450348	0.954843842
'28-Feb-2021 10:51:29'	1.135351981	0.00014461	0.275384146
'28-Feb-2021 11:51:32'	0.841642669	-0.000292537	-0.649313273
'28-Feb-2021 12:51:35'	-0.62146662	-0.000448404	-0.925807331
'28-Feb-2021 13:51:38'	-1.852302186	-0.00017389	-0.273810307
'28-Feb-2021 14:51:41'	-1.651839171	0.000279002	0.711673771
'28-Feb-2021 15:51:44'	-0.143476204	0.000490168	1.109587374
'28-Feb-2021 16:51:47'	1.328558943	0.000259225	0.525232489
'28-Feb-2021 17:51:50'	1.428389858	-0.000208982	-0.540049565
'28-Feb-2021 18:51:52'	0.054331161	-0.000491526	-1.142606106
'28-Feb-2021 19:51:55'	-1.565578459	-0.000334976	-0.756996132
'28-Feb-2021 20:51:58'	-1.996127772	0.000112773	0.246931803
'28-Feb-2021 21:52:01'	-0.904159884	0.000439403	0.948090082
'28-Feb-2021 22:52:04'	0.648324176	0.00034794	0.722262367
'28-Feb-2021 23:52:07'	1.195548946	-6.99899E-05	-0.186507995
'01-Mar-2021 00:52:10'	0.229409036	-0.000419429	-0.897893905
'01-Mar-2021 01:52:13'	-1.326754496	-0.000368223	-0.717289
'01-Mar-2021 02:52:16'	-1.9741883	4.32376E-05	0.211474403
'01-Mar-2021 03:52:18'	-1.038539579	0.000435811	1.02953047
'01-Mar-2021 04:52:21'	0.68217191	0.000440441	0.954755991
'01-Mar-2021 05:52:24'	1.631685752	4.16567E-05	0.013510587
'01-Mar-2021 06:52:27'	0.925029697	-0.000402902	-0.967918106
'01-Mar-2021 07:52:30'	-0.824005316	-0.000488729	-1.113405793
'01-Mar-2021 08:52:33'	-2.05170636	-0.000137897	-0.30213303
'01-Mar-2021 09:52:36'	-1.676180477	0.000326219	0.716694338
'01-Mar-2021 10:52:39'	-0.093657562	0.000475707	1.012816313
'01-Mar-2021 11:52:41'	1.189431644	0.000174804	0.335667478
'01-Mar-2021 12:52:44'	0.959229266	-0.000291548	-0.651989711
'01-Mar-2021 13:52:47'	-0.565287816	-0.000480496	-0.991757183
'01-Mar-2021 14:52:50'	-1.923561886	-0.000205216	-0.331159017
'01-Mar-2021 15:52:53'	-1.775315174	0.000285075	0.731762248
'01-Mar-2021 16:52:56'	-0.173520275	0.000531446	1.193050231
'01-Mar-2021 17:52:59'	1.448664345	0.000292688	0.580893686
'01-Mar-2021 18:53:02'	1.589003652	-0.000223482	-0.586400905
'01-Mar-2021 19:53:04'	0.079755381	-0.000545975	-1.261564966
'01-Mar-2021 20:53:07'	-1.730719992	-0.000376146	-0.83341151
'01-Mar-2021 21:53:10'	-2.20997989	0.000130578	0.299696772
'01-Mar-2021 22:53:13'	-0.955686065	0.000504267	1.091607366
'01-Mar-2021 23:53:16'	0.8234366	0.000397154	0.820144585
'02-Mar-2021 00:53:19'	1.433497134	-8.83476E-05	-0.234851101
'02-Mar-2021 01:53:22'	0.290107348	-0.000490901	-1.04915556
'02-Mar-2021 02:53:25'	-1.51487081	-0.000421689	-0.818225266
'02-Mar-2021 03:53:28'	-2.226311832	6.55264E-05	0.272047463
'02-Mar-2021 04:53:30'	-1.087271254	0.000516704	1.200754129
'02-Mar-2021 05:53:33'	0.912852314	0.000499891	1.063806987
'02-Mar-2021 06:53:36'	1.930464353	1.51643E-05	-0.063795468
'02-Mar-2021 07:53:39'	0.988579836	-0.000496141	-1.173588683
'02-Mar-2021 08:53:42'	-1.085277454	-0.000559274	-1.25191161
'02-Mar-2021 09:53:45'	-2.405055745	-0.000112783	-0.229930551
'02-Mar-2021 10:53:48'	-1.780163994	0.000427874	0.941524424
'02-Mar-2021 11:53:51'	0.163603166	0.000556388	1.176525913
'02-Mar-2021 12:53:53'	1.564655849	0.00015295	0.27554031
